month,customer_id,plan_type,seat_count,base_mrr_usd,discount_pct,mrr_usd,arr_usd,contract_type_x,renewal_month,subscription_status,company_name,industry,company_size_segment,region,country,signup_date,churn_date,initial_plan,contract_type_y,account_owner,risk_profile,power_user_flag,underpriced_flag,planned_upgrade_month,eligible_features,adopted_features,active_users,login_count,workflow_runs,api_calls,storage_gb,compute_minutes,ai_tokens_million,athena_scanned_gb,feature_adoption_rate,direct_cloud_cost_usd,ticket_count,high_severity_tickets,avg_resolution_hours,csat_score,shared_overhead_usd,shared_cost_allocation_usd,allocated_cloud_cost_usd,cost_to_revenue_ratio,estimated_gross_margin_pct,cost_per_active_user_usd,margin_risk_tier,customer_health_score,revenue_at_risk_usd
2025-01-01,CUST-0001,Professional,59,599.0,0.1,1212.3,14547.6,Annual,2026-01-01,Active,"Lopez, Gray and Dyer",Education,Mid-Market,North America,Canada,2025-01-24,,Professional,Annual,Noah Williams,Medium,False,False,2025-09-01,6,5,28,1359,511,325253,67.3758,111.57920000000001,0.0,57.7149,0.8333333333333334,98.5579,1,0,7.12,4.22,23983.21,94.44389380194644,193.00179380194646,0.15920299744448277,0.8407970025555173,6.892921207212374,Monitor,77.85709353777472,0.0
2025-02-01,CUST-0001,Professional,58,599.0,0.1,1195.48,14345.78,Annual,2026-01-01,Active,"Lopez, Gray and Dyer",Education,Mid-Market,North America,Canada,2025-01-24,,Professional,Annual,Noah Williams,Medium,False,False,2025-09-01,6,5,24,1425,953,440695,60.6883,177.8861,0.0,119.7019,0.8333333333333334,119.95360000000001,3,0,6.73,4.36,24872.4,89.4256789167599,209.37927891675992,0.17514243560474446,0.8248575643952556,8.724136621531663,Monitor,77.70193848495379,0.0
2025-03-01,CUST-0001,Professional,65,599.0,0.1,1337.76,16053.07,Annual,2026-01-01,Active,"Lopez, Gray and Dyer",Education,Mid-Market,North America,Canada,2025-01-24,,Professional,Annual,Noah Williams,Medium,False,False,2025-09-01,6,5,42,2378,867,248073,0.0,210.5637,0.0,134.5027,0.8333333333333334,150.6003,1,0,4.81,4.58,25236.600000000006,91.01286943356676,241.61316943356678,0.1806102510417166,0.8193897489582834,5.7526945103230185,Monitor,79.02451324999602,0.0
2025-04-01,CUST-0001,Professional,70,599.0,0.1,1440.83,17289.91,Annual,2026-01-01,Active,"Lopez, Gray and Dyer",Education,Mid-Market,North America,Canada,2025-01-24,,Professional,Annual,Noah Williams,Medium,False,False,2025-09-01,6,5,22,1387,1161,830486,0.0,232.6762,0.0,36.3928,0.8333333333333334,94.1566,0,0,0.0,4.36,26541.480000000003,90.00274756606025,184.15934756606026,0.1278147647994977,0.8721852352005023,8.370879434820921,Monitor,81.48815214937352,0.0
2025-05-01,CUST-0001,Professional,63,599.0,0.1,1304.41,15652.98,Annual,2026-01-01,Active,"Lopez, Gray and Dyer",Education,Mid-Market,North America,Canada,2025-01-24,,Professional,Annual,Noah Williams,Medium,False,False,2025-09-01,7,5,31,2196,886,436211,64.9329,175.9879,0.0,75.3805,0.7142857142857143,124.5717,0,0,0.0,4.55,27278.389999999992,80.74066758206416,205.31236758206416,0.15739864581079885,0.8426013541892011,6.6229795994214244,Monitor,77.66525119227896,0.0
2025-06-01,CUST-0001,Professional,64,599.0,0.1,1327.69,15932.29,Annual,2026-01-01,Active,"Lopez, Gray and Dyer",Education,Mid-Market,North America,Canada,2025-01-24,,Professional,Annual,Noah Williams,Medium,False,False,2025-09-01,7,5,36,1746,0,1466570,0.0,327.4662,2.946533,58.1952,0.7142857142857143,236.5542,1,0,4.39,4.27,27423.590000000004,78.94571404569001,315.49991404569005,0.23763070750377727,0.7623692924962228,8.763886501269168,Monitor,69.00668625684068,0.0
2025-07-01,CUST-0001,Professional,65,599.0,0.1,1351.07,16212.8,Annual,2026-01-01,Active,"Lopez, Gray and Dyer",Education,Mid-Market,North America,Canada,2025-01-24,,Professional,Annual,Noah Williams,Medium,False,False,2025-09-01,7,6,26,2318,756,563155,71.605,248.5545,1.063592,115.3608,0.8571428571428571,172.32319999999999,0,0,0.0,4.52,28885.590000000004,81.7007177573458,254.02391775734577,0.1880168442474082,0.8119831557525918,9.770150682974837,Monitor,78.54722388877877,0.0
2025-08-01,CUST-0001,Professional,63,599.0,0.1,1314.1,15769.22,Annual,2026-01-01,Active,"Lopez, Gray and Dyer",Education,Mid-Market,North America,Canada,2025-01-24,,Professional,Annual,Noah Williams,Medium,False,False,2025-09-01,7,6,39,2460,421,1201974,84.9637,273.6288,0.719024,66.7758,0.8571428571428571,209.9402,0,0,0.0,4.48,29801.140000000007,79.51996623835751,289.4601662383575,0.22027255630344533,0.7797274436965547,7.4220555445732685,Monitor,75.6467669242958,0.0
2025-09-01,CUST-0001,Enterprise,100,2499.0,0.13,2217.61,26611.35,Annual,2026-01-01,Active,"Lopez, Gray and Dyer",Education,Mid-Market,North America,Canada,2025-01-24,,Professional,Annual,Noah Williams,Medium,False,False,2025-09-01,9,8,61,3697,2064,3115241,80.1387,792.3888,2.869799,255.076,0.8888888888888888,388.4592,0,0,0.0,4.33,30421.79999999999,128.10320045292806,516.562400452928,0.2329365399925722,0.7670634600074278,8.46823607299882,Monitor,74.22729902281645,0.0
2025-10-01,CUST-0001,Enterprise,100,2499.0,0.13,2223.05,26676.58,Annual,2026-01-01,Active,"Lopez, Gray and Dyer",Education,Mid-Market,North America,Canada,2025-01-24,,Professional,Annual,Noah Williams,Medium,False,False,2025-09-01,9,8,61,5550,1773,1092834,94.7086,487.3057,1.677327,185.7378,0.8888888888888888,335.9798,1,0,9.09,4.66,31253.25,128.2697552671066,464.24955526710664,0.20883450901558967,0.7911654909844104,7.610648447001748,Monitor,78.79546150097505,0.0
2025-11-01,CUST-0001,Enterprise,100,2499.0,0.13,2228.48,26741.8,Annual,2026-01-01,Active,"Lopez, Gray and Dyer",Education,Mid-Market,North America,Canada,2025-01-24,,Professional,Annual,Noah Williams,Medium,False,False,2025-09-01,9,8,60,5331,477,1887211,97.5871,386.1915,1.185587,95.6838,0.8888888888888888,333.0717,0,0,0.0,4.67,31877.11,121.64438249434687,454.7160824943469,0.20404763897111344,0.7959523610288866,7.578601374905782,Monitor,79.25841110453315,0.0
2025-12-01,CUST-0001,Enterprise,100,2499.0,0.13,2233.92,26807.02,Annual,2026-01-01,Active,"Lopez, Gray and Dyer",Education,Mid-Market,North America,Canada,2025-01-24,,Professional,Annual,Noah Williams,Medium,False,False,2025-09-01,9,7,65,4665,2672,1489538,100.366,416.1642,0.0,26.7226,0.7777777777777778,228.7166,1,0,1.68,4.03,33608.08,121.88525760619636,350.60185760619635,0.15694467913183835,0.8430553208681617,5.39387473240302,Monitor,75.12887011389739,0.0
2026-01-01,CUST-0001,Enterprise,100,2499.0,0.13,2239.35,26872.25,Annual,2027-01-01,Active,"Lopez, Gray and Dyer",Education,Mid-Market,North America,Canada,2025-01-24,,Professional,Annual,Noah Williams,Medium,False,False,2025-09-01,9,8,53,5092,0,1610496,77.607,662.0733,1.567095,351.03610000000003,0.8888888888888888,373.5444,2,1,11.54,3.72,36945.71000000001,127.1986138259841,500.7430138259841,0.22361087539955082,0.7763891246004492,9.447981392943097,Monitor,65.09335219025816,0.0
