month,mrr_usd,active_customers,total_active_users,revenue_at_risk_usd,avg_customer_health_score,margin_risk_customers,total_cloud_cost_usd,budget_usd,actual_cost_usd,forecast_cost_usd,variance_usd,variance_pct,incident_count,downtime_minutes,estimated_business_impact_usd,arr_run_rate_usd,cloud_cost_to_revenue_ratio,estimated_gross_margin_pct,cost_per_active_customer_usd,cost_per_active_user_usd,mrr_growth_pct,cloud_cost_growth_pct
2025-01-01,307853.1,219,6475,9585.02,75.65981546553915,5,50243.7085,49238.83,50243.71,52249.31,1004.87,0.0204,6,166,9751.23,3694237.1999999997,0.1632067648498586,0.8367932351501414,229.42332648401828,7.7596461003861,,
2025-02-01,332504.68,234,7091,8202.07,76.40046951233893,4,55427.5852,52504.68,55427.59,57251.89,2922.91,0.0557,5,184,6756.89,3990056.16,0.16669715806706842,0.8333028419329316,236.87002222222222,7.816610520377944,0.08007578939435733,0.10317464324911452
2025-03-01,370942.2,254,8112,26200.43,76.7206924789643,8,60735.4302,57921.83,60735.43,64451.12,2813.6,0.0486,5,140,5477.29,4451306.4,0.16373286781606405,0.8362671321839359,239.11586692913386,7.487109245562131,0.11559993681893443,0.0957617940750557
2025-04-01,424895.48,281,8966,0.0,76.88474702290395,0,63341.5809,63468.52,63341.58,68057.73,-126.94,-0.002,6,226,11754.57,5098745.76,0.14907567597565408,0.8509243240243459,225.41487864768683,7.064642081195628,0.14544929102162008,0.04290989116925692
2025-05-01,440697.43,291,9281,45958.39,76.18552608536375,14,76206.2496,66191.95,76206.25,78351.74,10014.3,0.1513,5,195,5213.33,5288369.16,0.17292192877094836,0.8270780712290516,261.87714639175255,8.210995539273785,0.037190204988765796,0.20309989926380245
2025-06-01,461203.33,303,10008,56978.1,75.68936707877602,17,81418.4906,79635.53,81418.49,84498.05,1782.96,0.0224,6,207,9760.779999999999,5534439.96,0.17653491487149497,0.823465085128505,268.70788976897694,8.135340787370104,0.04653056406523648,0.06839650327051405
2025-07-01,477675.77999999997,319,10412,74521.4,75.599781867878,16,89052.3214,85082.32,89052.32,90068.47,3970.0,0.0467,6,169,8409.22,5732109.359999999,0.18642837909847557,0.8135716209015245,279.1608821316614,8.552854533230887,0.0357162425518478,0.09376040680370945
2025-08-01,492476.04,330,10574,61843.55,75.9481423090456,16,86222.95240000001,93059.68,86222.95,93031.78,-6836.72,-0.0735,5,64,3528.29,5909712.4799999995,0.17508050219052285,0.8249194978094772,261.28167393939395,8.15424176281445,0.030983902930979745,-0.031771984778377615
2025-09-01,526635.46,347,11395,88528.71,76.0193755755111,25,103194.2361,90102.99,103194.24,109572.93,13091.25,0.1453,7,190,6348.57,6319625.52,0.1959500336342714,0.8040499663657286,297.38972939481266,9.056097946467748,0.06936260289942231,0.19683023171449632
2025-10-01,541651.75,364,11601,97738.97,75.0941626598428,33,105692.7003,107837.98,105692.7,112472.38,-2145.28,-0.0199,6,161,5483.72,6499821.0,0.19513035875911044,0.8048696412408896,290.3645612637363,9.110654279803464,0.028513632560936975,0.02421127666063505
2025-11-01,583976.84,380,12718,153210.95,74.82292827665849,35,122337.3489,110448.87,122337.35,126190.77,11888.48,0.1076,7,107,3104.8,7007722.08,0.20949006967468095,0.790509930325319,321.94039184210527,9.619228565812234,0.07814077956916043,0.15748153422852806
2025-12-01,615970.82,396,13398,123475.54,75.7401240614032,35,123623.0257,127842.53,123623.03,131860.16,-4219.5,-0.033,8,164,8959.13,7391649.84,0.20069623703928055,0.7993037629607195,312.17935782828283,9.226976093446783,0.05478638502170741,0.010509274653735856
2026-01-01,650434.57,411,14261,192851.01,74.13152765220389,62,149490.486,118851.18,149490.49,161242.51,30639.31,0.2578,7,223,11153.16,7805214.84,0.22983170467092487,0.7701682953290752,363.7238102189781,10.482468690835145,0.05595029647670646,0.20924467876052
2026-02-01,669802.72,425,14472,214662.12,72.78481467608131,78,153830.0051,156217.56,153830.01,161735.5,-2387.55,-0.0153,7,143,24376.61,8037632.64,0.22966464677838277,0.7703353532216173,361.9529531764706,10.629491784134881,0.029777245695904453,0.029028730965527938
2026-03-01,717205.07,440,15850,252439.98,73.7460310876514,79,173722.9064,160752.36,173722.91,178013.13,12970.55,0.0807,7,358,14338.33,8606460.84,0.24222208356669875,0.7577779164333013,394.8247872727273,10.960435735015773,0.07077061436836196,0.1293174324935389
2026-04-01,746615.84,443,16187,209527.57,74.21468917187747,66,170892.7173,181540.44,170892.72,178174.44,-10647.72,-0.0587,7,347,11184.68,8959390.08,0.22888975580802035,0.7711102441919797,385.7623415349887,10.557405158460492,0.04100747642511782,-0.016291398518762157
2026-05-01,750419.45,437,16656,255139.44,74.10026703711083,75,183912.98810000002,178582.89,183912.99,197389.99,5330.1,0.0298,7,257,9167.04,9005033.399999999,0.2450802522509245,0.7549197477490754,420.8535196796339,11.04184606748319,0.005094467323382812,0.07618973473950397
2026-06-01,751800.23,433,15661,273050.35,73.86946487195911,88,178102.209,192189.07,178102.21,190300.38,-14086.86,-0.0733,6,177,7096.9400000000005,9021602.76,0.23690097700555374,0.7630990229944463,411.3214988452656,11.372339505778687,0.0018400109432132883,-0.03159526230328269
