month,aws_service,environment,cost_category,cost_usd,monthly_cost_share_pct,budget_usd,variance_usd,variance_pct
2025-01-01,AWS Lambda,production,direct_product_cost,4288.5809,0.08535558039072692,49238.83,1004.87,0.0204
2025-01-01,AWS Step Functions,production,direct_product_cost,450.43,0.008964903536131295,49238.83,1004.87,0.0204
2025-01-01,AWS Support,production,shared_platform_cost,2790.14,0.0555321269726736,49238.83,1004.87,0.0204
2025-01-01,Amazon API Gateway,production,direct_product_cost,2255.8905,0.044898964812678986,49238.83,1004.87,0.0204
2025-01-01,Amazon Athena,production,direct_product_cost,5266.5476,0.10482004129930018,49238.83,1004.87,0.0204
2025-01-01,Amazon CloudFront,production,direct_product_cost,481.7176,0.009587620308719846,49238.83,1004.87,0.0204
2025-01-01,Amazon CloudFront,production,shared_platform_cost,2004.77,0.039900916151521734,49238.83,1004.87,0.0204
2025-01-01,Amazon CloudWatch,development,non_production_cost,350.27,0.0069714201132267135,49238.83,1004.87,0.0204
2025-01-01,Amazon CloudWatch,production,direct_product_cost,1373.0698,0.0273281937379284,49238.83,1004.87,0.0204
2025-01-01,Amazon CloudWatch,production,shared_platform_cost,1645.74,0.03275514585074866,49238.83,1004.87,0.0204
2025-01-01,Amazon CloudWatch,staging,non_production_cost,284.87,0.00566976460346274,49238.83,1004.87,0.0204
2025-01-01,Amazon DynamoDB,production,direct_product_cost,2245.1395,0.04468498777314577,49238.83,1004.87,0.0204
2025-01-01,Amazon EC2,development,non_production_cost,1669.03,0.03321868647494442,49238.83,1004.87,0.0204
2025-01-01,Amazon EC2,production,shared_platform_cost,6292.17,0.12523299310201197,49238.83,1004.87,0.0204
2025-01-01,Amazon EC2,staging,non_production_cost,1112.4,0.022140085459655113,49238.83,1004.87,0.0204
2025-01-01,Amazon QuickSight,production,direct_product_cost,4070.2122,0.08100939045930497,49238.83,1004.87,0.0204
2025-01-01,Amazon RDS,development,non_production_cost,1240.55,0.02469065355715134,49238.83,1004.87,0.0204
2025-01-01,Amazon RDS,production,shared_platform_cost,5101.11,0.10152733849253981,49238.83,1004.87,0.0204
2025-01-01,Amazon RDS,staging,non_production_cost,995.9,0.019821387189203996,49238.83,1004.87,0.0204
2025-01-01,Amazon S3,development,non_production_cost,280.03,0.005573434134544427,49238.83,1004.87,0.0204
2025-01-01,Amazon S3,production,direct_product_cost,4625.6285,0.09206383521630375,49238.83,1004.87,0.0204
2025-01-01,Amazon S3,staging,non_production_cost,216.23,0.0043036234078939455,49238.83,1004.87,0.0204
2025-01-01,Data Transfer,production,direct_product_cost,1203.2819,0.023948906956181387,49238.83,1004.87,0.0204
2025-02-01,AWS Lambda,production,direct_product_cost,4859.199,0.08766752118943114,52504.68,2922.91,0.0557
2025-02-01,AWS Step Functions,production,direct_product_cost,547.9995,0.00988676483059197,52504.68,2922.91,0.0557
2025-02-01,AWS Support,production,shared_platform_cost,3220.28,0.058098868792140705,52504.68,2922.91,0.0557
2025-02-01,Amazon API Gateway,production,direct_product_cost,2627.4818999999998,0.0474038674158224,52504.68,2922.91,0.0557
2025-02-01,Amazon Athena,production,direct_product_cost,6305.3676,0.11375865604190166,52504.68,2922.91,0.0557
2025-02-01,Amazon CloudFront,production,direct_product_cost,599.2255,0.010810961686997687,52504.68,2922.91,0.0557
2025-02-01,Amazon CloudFront,production,shared_platform_cost,2185.16,0.03942369114792321,52504.68,2922.91,0.0557
2025-02-01,Amazon CloudWatch,development,non_production_cost,421.9,0.007611733372068318,52504.68,2922.91,0.0557
2025-02-01,Amazon CloudWatch,production,direct_product_cost,1595.566,0.028786496727986628,52504.68,2922.91,0.0557
2025-02-01,Amazon CloudWatch,production,shared_platform_cost,1600.9,0.02888273039901439,52504.68,2922.91,0.0557
2025-02-01,Amazon CloudWatch,staging,non_production_cost,288.98,0.005213649466367155,52504.68,2922.91,0.0557
2025-02-01,Amazon DynamoDB,production,direct_product_cost,2802.1453,0.05055506729887269,52504.68,2922.91,0.0557
2025-02-01,Amazon EC2,development,non_production_cost,1756.38,0.03168783185596907,52504.68,2922.91,0.0557
2025-02-01,Amazon EC2,production,shared_platform_cost,6246.87,0.11270326819144919,52504.68,2922.91,0.0557
2025-02-01,Amazon EC2,staging,non_production_cost,1180.15,0.021291744818787452,52504.68,2922.91,0.0557
2025-02-01,Amazon QuickSight,production,direct_product_cost,4854.2987,0.0875791121421613,52504.68,2922.91,0.0557
2025-02-01,Amazon RDS,development,non_production_cost,1247.46,0.02250612209604253,52504.68,2922.91,0.0557
2025-02-01,Amazon RDS,production,shared_platform_cost,5235.65,0.09445928378636996,52504.68,2922.91,0.0557
2025-02-01,Amazon RDS,staging,non_production_cost,960.15,0.017322602031740686,52504.68,2922.91,0.0557
2025-02-01,Amazon S3,development,non_production_cost,297.61,0.005369348112968126,52504.68,2922.91,0.0557
2025-02-01,Amazon S3,production,direct_product_cost,5202.9774,0.0938698191744424,52504.68,2922.91,0.0557
2025-02-01,Amazon S3,staging,non_production_cost,230.91,0.004165976186168038,52504.68,2922.91,0.0557
2025-02-01,Data Transfer,production,direct_product_cost,1160.9243,0.020944883234783246,52504.68,2922.91,0.0557
2025-03-01,AWS Lambda,production,direct_product_cost,5809.4793,0.09565222936380881,57921.83,2813.6,0.0486
2025-03-01,AWS Step Functions,production,direct_product_cost,578.7384,0.009528843347190123,57921.83,2813.6,0.0486
2025-03-01,AWS Support,production,shared_platform_cost,3091.51,0.05090126125425881,57921.83,2813.6,0.0486
2025-03-01,Amazon API Gateway,production,direct_product_cost,3219.9455,0.053015933029482355,57921.83,2813.6,0.0486
2025-03-01,Amazon Athena,production,direct_product_cost,6898.7315,0.11358660796972507,57921.83,2813.6,0.0486
2025-03-01,Amazon CloudFront,production,direct_product_cost,708.9294,0.01167241917387456,57921.83,2813.6,0.0486
2025-03-01,Amazon CloudFront,production,shared_platform_cost,2229.29,0.03670493470876905,57921.83,2813.6,0.0486
2025-03-01,Amazon CloudWatch,development,non_production_cost,475.4,0.007827391663062592,57921.83,2813.6,0.0486
2025-03-01,Amazon CloudWatch,production,direct_product_cost,1901.1577,0.031302284247259685,57921.83,2813.6,0.0486
2025-03-01,Amazon CloudWatch,production,shared_platform_cost,1786.28,0.029410839671635356,57921.83,2813.6,0.0486
2025-03-01,Amazon CloudWatch,staging,non_production_cost,311.13,0.005122710071789366,57921.83,2813.6,0.0486
2025-03-01,Amazon DynamoDB,production,direct_product_cost,3085.6324,0.05080448742750488,57921.83,2813.6,0.0486
2025-03-01,Amazon EC2,development,non_production_cost,1673.02,0.02754603029057,57921.83,2813.6,0.0486
2025-03-01,Amazon EC2,production,shared_platform_cost,6417.75,0.10566731772322245,57921.83,2813.6,0.0486
2025-03-01,Amazon EC2,staging,non_production_cost,1150.67,0.01894561372514984,57921.83,2813.6,0.0486
2025-03-01,Amazon QuickSight,production,direct_product_cost,5342.0673,0.08795635895569898,57921.83,2813.6,0.0486
2025-03-01,Amazon RDS,development,non_production_cost,1216.91,0.020036245664067105,57921.83,2813.6,0.0486
2025-03-01,Amazon RDS,production,shared_platform_cost,5432.11,0.08943889887850008,57921.83,2813.6,0.0486
2025-03-01,Amazon RDS,staging,non_production_cost,911.41,0.015006232721144042,57921.83,2813.6,0.0486
2025-03-01,Amazon S3,development,non_production_cost,320.7,0.005280278726007937,57921.83,2813.6,0.0486
2025-03-01,Amazon S3,production,direct_product_cost,6336.0114,0.10432150359577104,57921.83,2813.6,0.0486
2025-03-01,Amazon S3,staging,non_production_cost,220.42,0.0036291831518137497,57921.83,2813.6,0.0486
2025-03-01,Data Transfer,production,direct_product_cost,1618.1372999999999,0.02664239463969418,57921.83,2813.6,0.0486
