month,budget_usd,actual_cost_usd,forecast_cost_usd,variance_usd,variance_pct
2025-01-01,49238.83,50243.71,52249.31,1004.87,0.0204
2025-02-01,52504.68,55427.59,57251.89,2922.91,0.0557
2025-03-01,57921.83,60735.43,64451.12,2813.6,0.0486
2025-04-01,63468.52,63341.58,68057.73,-126.94,-0.002
2025-05-01,66191.95,76206.25,78351.74,10014.3,0.1513
2025-06-01,79635.53,81418.49,84498.05,1782.96,0.0224
2025-07-01,85082.32,89052.32,90068.47,3970.0,0.0467
2025-08-01,93059.68,86222.95,93031.78,-6836.72,-0.0735
2025-09-01,90102.99,103194.24,109572.93,13091.25,0.1453
2025-10-01,107837.98,105692.7,112472.38,-2145.28,-0.0199
2025-11-01,110448.87,122337.35,126190.77,11888.48,0.1076
2025-12-01,127842.53,123623.03,131860.16,-4219.5,-0.033
2026-01-01,118851.18,149490.49,161242.51,30639.31,0.2578
2026-02-01,156217.56,153830.01,161735.5,-2387.55,-0.0153
2026-03-01,160752.36,173722.91,178013.13,12970.55,0.0807
2026-04-01,181540.44,170892.72,178174.44,-10647.72,-0.0587
2026-05-01,178582.89,183912.99,197389.99,5330.1,0.0298
2026-06-01,192189.07,178102.21,190300.38,-14086.86,-0.0733
