month,aws_service,cost_usd,environment,cost_category
2025-01-01,AWS Lambda,4288.5809,production,direct_product_cost
2025-01-01,AWS Step Functions,450.43,production,direct_product_cost
2025-01-01,Amazon API Gateway,2255.8905,production,direct_product_cost
2025-01-01,Amazon Athena,5266.5476,production,direct_product_cost
2025-01-01,Amazon CloudFront,481.7176,production,direct_product_cost
2025-01-01,Amazon CloudWatch,1373.0698,production,direct_product_cost
2025-01-01,Amazon DynamoDB,2245.1395,production,direct_product_cost
2025-01-01,Amazon QuickSight,4070.2122,production,direct_product_cost
2025-01-01,Amazon S3,4625.6285,production,direct_product_cost
2025-01-01,Data Transfer,1203.2819,production,direct_product_cost
2025-02-01,AWS Lambda,4859.199,production,direct_product_cost
2025-02-01,AWS Step Functions,547.9995,production,direct_product_cost
2025-02-01,Amazon API Gateway,2627.4818999999998,production,direct_product_cost
2025-02-01,Amazon Athena,6305.3676,production,direct_product_cost
2025-02-01,Amazon CloudFront,599.2255,production,direct_product_cost
2025-02-01,Amazon CloudWatch,1595.566,production,direct_product_cost
2025-02-01,Amazon DynamoDB,2802.1453,production,direct_product_cost
2025-02-01,Amazon QuickSight,4854.2987,production,direct_product_cost
2025-02-01,Amazon S3,5202.9774,production,direct_product_cost
2025-02-01,Data Transfer,1160.9243,production,direct_product_cost
2025-03-01,AWS Lambda,5809.4793,production,direct_product_cost
2025-03-01,AWS Step Functions,578.7384,production,direct_product_cost
2025-03-01,Amazon API Gateway,3219.9455,production,direct_product_cost
2025-03-01,Amazon Athena,6898.7315,production,direct_product_cost
2025-03-01,Amazon CloudFront,708.9294,production,direct_product_cost
2025-03-01,Amazon CloudWatch,1901.1577,production,direct_product_cost
2025-03-01,Amazon DynamoDB,3085.6324,production,direct_product_cost
2025-03-01,Amazon QuickSight,5342.0673,production,direct_product_cost
2025-03-01,Amazon S3,6336.0114,production,direct_product_cost
2025-03-01,Data Transfer,1618.1372999999999,production,direct_product_cost
2025-04-01,AWS Lambda,5937.7181,production,direct_product_cost
2025-04-01,AWS Step Functions,621.3391,production,direct_product_cost
2025-04-01,Amazon API Gateway,2992.2767,production,direct_product_cost
2025-04-01,Amazon Athena,7266.9092,production,direct_product_cost
2025-04-01,Amazon CloudFront,754.51,production,direct_product_cost
2025-04-01,Amazon CloudWatch,1834.6522,production,direct_product_cost
2025-04-01,Amazon DynamoDB,3275.8329,production,direct_product_cost
2025-04-01,Amazon QuickSight,5622.4511,production,direct_product_cost
2025-04-01,Amazon S3,6747.9958,production,direct_product_cost
2025-04-01,Data Transfer,1746.4158,production,direct_product_cost
2025-05-01,AWS Lambda,7401.2419,production,direct_product_cost
2025-05-01,AWS Step Functions,659.7882,production,direct_product_cost
2025-05-01,Amazon API Gateway,3609.0494,production,direct_product_cost
2025-05-01,Amazon Athena,7849.7957,production,direct_product_cost
2025-05-01,Amazon Bedrock,7112.7988,production,direct_product_cost
2025-05-01,Amazon CloudFront,828.6767,production,direct_product_cost
2025-05-01,Amazon CloudWatch,2675.2571,production,direct_product_cost
2025-05-01,Amazon DynamoDB,3298.181,production,direct_product_cost
2025-05-01,Amazon QuickSight,6016.5001,production,direct_product_cost
2025-05-01,Amazon S3,7806.2182,production,direct_product_cost
2025-05-01,Data Transfer,1670.3525,production,direct_product_cost
2025-06-01,AWS Lambda,8538.1203,production,direct_product_cost
2025-06-01,AWS Step Functions,691.9982,production,direct_product_cost
2025-06-01,Amazon API Gateway,4160.8008,production,direct_product_cost
2025-06-01,Amazon Athena,8544.9204,production,direct_product_cost
2025-06-01,Amazon Bedrock,6486.8744,production,direct_product_cost
2025-06-01,Amazon CloudFront,976.103,production,direct_product_cost
2025-06-01,Amazon CloudWatch,3069.5956,production,direct_product_cost
2025-06-01,Amazon DynamoDB,3854.6183,production,direct_product_cost
2025-06-01,Amazon QuickSight,6614.8296,production,direct_product_cost
2025-06-01,Amazon S3,8945.1682,production,direct_product_cost
2025-06-01,Data Transfer,2111.8718,production,direct_product_cost
2025-07-01,AWS Lambda,9323.5502,production,direct_product_cost
2025-07-01,AWS Step Functions,704.2279,production,direct_product_cost
2025-07-01,Amazon API Gateway,4361.4634,production,direct_product_cost
2025-07-01,Amazon Athena,8508.8326,production,direct_product_cost
2025-07-01,Amazon Bedrock,11772.2435,production,direct_product_cost
2025-07-01,Amazon CloudFront,847.188,production,direct_product_cost
2025-07-01,Amazon CloudWatch,3575.1225,production,direct_product_cost
2025-07-01,Amazon DynamoDB,3983.0184,production,direct_product_cost
2025-07-01,Amazon QuickSight,6599.2693,production,direct_product_cost
2025-07-01,Amazon S3,8731.8115,production,direct_product_cost
2025-07-01,Data Transfer,1760.0041,production,direct_product_cost
2025-08-01,AWS Lambda,8236.4063,production,direct_product_cost
2025-08-01,AWS Step Functions,709.7271,production,direct_product_cost
2025-08-01,Amazon API Gateway,3773.9648,production,direct_product_cost
2025-08-01,Amazon Athena,9192.4042,production,direct_product_cost
2025-08-01,Amazon Bedrock,8202.3646,production,direct_product_cost
2025-08-01,Amazon CloudFront,1045.6056,production,direct_product_cost
2025-08-01,Amazon CloudWatch,2909.8779,production,direct_product_cost
2025-08-01,Amazon DynamoDB,3751.5167,production,direct_product_cost
2025-08-01,Amazon QuickSight,7052.6953,production,direct_product_cost
2025-08-01,Amazon S3,9474.2529,production,direct_product_cost
2025-08-01,Data Transfer,2072.997,production,direct_product_cost
2025-09-01,AWS Glue,3295.9659,production,direct_product_cost
2025-09-01,AWS Lambda,9877.2726,production,direct_product_cost
2025-09-01,AWS Step Functions,698.8277,production,direct_product_cost
2025-09-01,Amazon API Gateway,4372.575,production,direct_product_cost
2025-09-01,Amazon Athena,12266.4778,production,direct_product_cost
2025-09-01,Amazon Bedrock,10533.2784,production,direct_product_cost
2025-09-01,Amazon CloudFront,1203.3373,production,direct_product_cost
2025-09-01,Amazon CloudWatch,3708.9102,production,direct_product_cost
2025-09-01,Amazon DynamoDB,4785.7391,production,direct_product_cost
2025-09-01,Amazon QuickSight,9633.9074,production,direct_product_cost
2025-09-01,Amazon S3,10277.4782,production,direct_product_cost
2025-09-01,Data Transfer,2118.6665,production,direct_product_cost
2025-10-01,AWS Glue,3937.4638,production,direct_product_cost
2025-10-01,AWS Lambda,10060.1167,production,direct_product_cost
2025-10-01,AWS Step Functions,720.7698,production,direct_product_cost
2025-10-01,Amazon API Gateway,4844.2927,production,direct_product_cost
2025-10-01,Amazon Athena,12280.9367,production,direct_product_cost
2025-10-01,Amazon Bedrock,10224.2461,production,direct_product_cost
2025-10-01,Amazon CloudFront,1248.6929,production,direct_product_cost
2025-10-01,Amazon CloudWatch,3634.1747,production,direct_product_cost
2025-10-01,Amazon DynamoDB,4492.9538,production,direct_product_cost
2025-10-01,Amazon QuickSight,9642.0882,production,direct_product_cost
2025-10-01,Amazon S3,10801.5867,production,direct_product_cost
2025-10-01,Data Transfer,2552.1282,production,direct_product_cost
2025-11-01,AWS Glue,4130.9045,production,direct_product_cost
2025-11-01,AWS Lambda,11460.3731,production,direct_product_cost
2025-11-01,AWS Step Functions,745.0521,production,direct_product_cost
2025-11-01,Amazon API Gateway,4764.4219,production,direct_product_cost
2025-11-01,Amazon Athena,14526.1551,production,direct_product_cost
2025-11-01,Amazon Bedrock,16799.8357,production,direct_product_cost
2025-11-01,Amazon CloudFront,1521.3295,production,direct_product_cost
2025-11-01,Amazon CloudWatch,4344.2943,production,direct_product_cost
2025-11-01,Amazon DynamoDB,5078.2897,production,direct_product_cost
2025-11-01,Amazon QuickSight,11352.1637,production,direct_product_cost
2025-11-01,Amazon S3,13075.2408,production,direct_product_cost
2025-11-01,Data Transfer,2662.1785,production,direct_product_cost
2025-12-01,AWS Glue,3330.6093,production,direct_product_cost
2025-12-01,AWS Lambda,11926.5425,production,direct_product_cost
2025-12-01,AWS Step Functions,824.5427,production,direct_product_cost
2025-12-01,Amazon API Gateway,5172.5190999999995,production,direct_product_cost
2025-12-01,Amazon Athena,14045.3862,production,direct_product_cost
2025-12-01,Amazon Bedrock,16643.9862,production,direct_product_cost
2025-12-01,Amazon CloudFront,1541.5443,production,direct_product_cost
2025-12-01,Amazon CloudWatch,4560.247,production,direct_product_cost
2025-12-01,Amazon DynamoDB,5108.9607,production,direct_product_cost
2025-12-01,Amazon QuickSight,10964.624099999999,production,direct_product_cost
2025-12-01,Amazon S3,13216.5606,production,direct_product_cost
2025-12-01,Data Transfer,2679.423,production,direct_product_cost
2026-01-01,AWS Glue,4515.0821,production,direct_product_cost
2026-01-01,AWS Lambda,14590.6965,production,direct_product_cost
2026-01-01,AWS Step Functions,900.381,production,direct_product_cost
2026-01-01,Amazon API Gateway,5622.9077,production,direct_product_cost
2026-01-01,Amazon Athena,14983.77,production,direct_product_cost
2026-01-01,Amazon Bedrock,26175.953,production,direct_product_cost
2026-01-01,Amazon CloudFront,2170.8548,production,direct_product_cost
2026-01-01,Amazon CloudWatch,5739.7158,production,direct_product_cost
2026-01-01,Amazon DynamoDB,5722.1003,production,direct_product_cost
2026-01-01,Amazon QuickSight,11801.5635,production,direct_product_cost
2026-01-01,Amazon S3,16921.6879,production,direct_product_cost
2026-01-01,Data Transfer,3400.0634,production,direct_product_cost
2026-02-01,AWS Glue,4007.7239,production,direct_product_cost
2026-02-01,AWS Lambda,14451.8222,production,direct_product_cost
2026-02-01,AWS Step Functions,933.5689,production,direct_product_cost
2026-02-01,Amazon API Gateway,5565.3278,production,direct_product_cost
2026-02-01,Amazon Athena,15342.7662,production,direct_product_cost
2026-02-01,Amazon Bedrock,26185.957,production,direct_product_cost
2026-02-01,Amazon CloudFront,1889.6913,production,direct_product_cost
2026-02-01,Amazon CloudWatch,5755.0627,production,direct_product_cost
2026-02-01,Amazon DynamoDB,5689.3581,production,direct_product_cost
2026-02-01,Amazon QuickSight,12050.1061,production,direct_product_cost
2026-02-01,Amazon S3,15944.1795,production,direct_product_cost
2026-02-01,Data Transfer,2994.5614,production,direct_product_cost
2026-03-01,AWS Glue,5645.2622,production,direct_product_cost
