month,customer_id,plan_type,seat_count,base_mrr_usd,discount_pct,mrr_usd,arr_usd,contract_type,renewal_month,subscription_status
2025-01-01,CUST-0001,Professional,59,599.0,0.1,1212.3,14547.6,Annual,2026-01-01,Active
2025-02-01,CUST-0001,Professional,58,599.0,0.1,1195.48,14345.78,Annual,2026-01-01,Active
2025-03-01,CUST-0001,Professional,65,599.0,0.1,1337.76,16053.07,Annual,2026-01-01,Active
2025-04-01,CUST-0001,Professional,70,599.0,0.1,1440.83,17289.91,Annual,2026-01-01,Active
2025-05-01,CUST-0001,Professional,63,599.0,0.1,1304.41,15652.98,Annual,2026-01-01,Active
2025-06-01,CUST-0001,Professional,64,599.0,0.1,1327.69,15932.29,Annual,2026-01-01,Active
2025-07-01,CUST-0001,Professional,65,599.0,0.1,1351.07,16212.8,Annual,2026-01-01,Active
2025-08-01,CUST-0001,Professional,63,599.0,0.1,1314.1,15769.22,Annual,2026-01-01,Active
2025-09-01,CUST-0001,Enterprise,100,2499.0,0.13,2217.61,26611.35,Annual,2026-01-01,Active
2025-10-01,CUST-0001,Enterprise,100,2499.0,0.13,2223.05,26676.58,Annual,2026-01-01,Active
2025-11-01,CUST-0001,Enterprise,100,2499.0,0.13,2228.48,26741.8,Annual,2026-01-01,Active
2025-12-01,CUST-0001,Enterprise,100,2499.0,0.13,2233.92,26807.02,Annual,2026-01-01,Active
2026-01-01,CUST-0001,Enterprise,100,2499.0,0.13,2239.35,26872.25,Annual,2027-01-01,Active
2026-02-01,CUST-0001,Enterprise,100,2499.0,0.13,2244.79,26937.47,Annual,2027-01-01,Active
2026-03-01,CUST-0001,Enterprise,100,2499.0,0.13,2250.22,27002.69,Annual,2027-01-01,Active
2026-04-01,CUST-0001,Enterprise,100,2499.0,0.13,2255.66,27067.92,Annual,2027-01-01,Active
2026-05-01,CUST-0001,Enterprise,100,2499.0,0.13,2261.1,27133.14,Annual,2027-01-01,Active
2026-06-01,CUST-0001,Enterprise,100,2499.0,0.13,2266.53,27198.37,Annual,2027-01-01,Active
2025-01-01,CUST-0002,Professional,25,599.0,0.1,545.84,6550.07,Annual,2026-08-01,Active
2025-02-01,CUST-0002,Professional,25,599.0,0.1,547.19,6566.24,Annual,2026-08-01,Active
2025-03-01,CUST-0002,Professional,25,599.0,0.1,548.53,6582.41,Annual,2026-08-01,Active
2025-04-01,CUST-0002,Professional,25,599.0,0.1,549.88,6598.58,Annual,2026-08-01,Active
2025-05-01,CUST-0002,Professional,25,599.0,0.1,551.23,6614.76,Annual,2026-08-01,Active
2025-06-01,CUST-0002,Professional,25,599.0,0.1,552.58,6630.93,Annual,2026-08-01,Active
2025-07-01,CUST-0002,Professional,25,599.0,0.1,553.93,6647.1,Annual,2026-08-01,Active
2025-08-01,CUST-0002,Professional,25,599.0,0.1,555.27,6663.28,Annual,2026-08-01,Active
2025-09-01,CUST-0002,Professional,25,599.0,0.1,556.62,6679.45,Annual,2026-08-01,Active
2025-10-01,CUST-0002,Professional,25,599.0,0.1,557.97,6695.62,Annual,2026-08-01,Active
2025-11-01,CUST-0002,Professional,25,599.0,0.1,559.32,6711.8,Annual,2026-08-01,Active
2025-12-01,CUST-0002,Enterprise,100,2499.0,0.13,2261.1,27133.14,Annual,2026-08-01,Active
2026-01-01,CUST-0002,Enterprise,100,2499.0,0.13,2266.53,27198.37,Annual,2027-08-01,Active
2026-02-01,CUST-0002,Enterprise,100,2499.0,0.13,2271.97,27263.59,Annual,2027-08-01,Active
2026-03-01,CUST-0002,Enterprise,100,2499.0,0.13,2277.4,27328.81,Annual,2027-08-01,Active
2026-04-01,CUST-0002,Enterprise,100,2499.0,0.13,2282.84,27394.04,Annual,2027-08-01,Active
2026-05-01,CUST-0002,Enterprise,100,2499.0,0.13,2288.27,27459.26,Annual,2027-08-01,Active
2026-06-01,CUST-0002,Enterprise,100,2499.0,0.13,2293.71,27524.49,Annual,2027-08-01,Active
2025-01-01,CUST-0003,Starter,12,149.0,0.0,251.94,3023.28,Monthly,2026-05-01,Active
2025-02-01,CUST-0003,Starter,12,149.0,0.0,252.56,3030.69,Monthly,2026-05-01,Active
2025-03-01,CUST-0003,Starter,12,149.0,0.0,253.17,3038.1,Monthly,2026-05-01,Active
