month,customer_id,ticket_count,high_severity_tickets,avg_resolution_hours,csat_score
2025-01-01,CUST-0001,1,0,7.12,4.22
2025-02-01,CUST-0001,3,0,6.73,4.36
2025-03-01,CUST-0001,1,0,4.81,4.58
2025-04-01,CUST-0001,0,0,0.0,4.36
2025-05-01,CUST-0001,0,0,0.0,4.55
2025-06-01,CUST-0001,1,0,4.39,4.27
2025-07-01,CUST-0001,0,0,0.0,4.52
2025-08-01,CUST-0001,0,0,0.0,4.48
2025-09-01,CUST-0001,0,0,0.0,4.33
2025-10-01,CUST-0001,1,0,9.09,4.66
2025-11-01,CUST-0001,0,0,0.0,4.67
2025-12-01,CUST-0001,1,0,1.68,4.03
2026-01-01,CUST-0001,2,1,11.54,3.72
2026-02-01,CUST-0001,1,0,8.66,4.68
2026-03-01,CUST-0001,4,0,5.15,4.28
2026-04-01,CUST-0001,0,0,0.0,5.0
2026-05-01,CUST-0001,0,0,0.0,4.36
2026-06-01,CUST-0001,2,0,13.12,3.75
2025-01-01,CUST-0002,2,1,10.53,3.86
2025-02-01,CUST-0002,0,0,0.0,4.38
2025-03-01,CUST-0002,3,0,10.88,4.55
2025-04-01,CUST-0002,0,0,0.0,4.12
2025-05-01,CUST-0002,1,0,12.26,4.67
2025-06-01,CUST-0002,1,0,8.06,4.3
2025-07-01,CUST-0002,2,0,15.4,4.74
2025-08-01,CUST-0002,0,0,0.0,4.5
2025-09-01,CUST-0002,0,0,0.0,4.51
2025-10-01,CUST-0002,1,0,2.8,4.62
2025-11-01,CUST-0002,2,0,8.68,4.0
2025-12-01,CUST-0002,1,0,9.11,4.32
2026-01-01,CUST-0002,3,0,7.24,4.37
2026-02-01,CUST-0002,1,0,12.15,4.36
2026-03-01,CUST-0002,1,0,6.85,4.49
2026-04-01,CUST-0002,2,1,13.5,4.21
2026-05-01,CUST-0002,1,0,6.96,4.8
2026-06-01,CUST-0002,1,0,5.5,4.32
2025-01-01,CUST-0003,2,0,10.32,4.85
2025-02-01,CUST-0003,0,0,0.0,4.58
2025-03-01,CUST-0003,4,0,7.12,4.63
2025-04-01,CUST-0003,1,0,7.84,3.93
2025-05-01,CUST-0003,0,0,0.0,4.46
2025-06-01,CUST-0003,1,0,4.81,4.18
2025-07-01,CUST-0003,1,0,7.66,4.05
2025-08-01,CUST-0003,0,0,0.0,4.17
2025-09-01,CUST-0003,0,0,0.0,4.54
2025-10-01,CUST-0003,0,0,0.0,4.79
2025-11-01,CUST-0003,0,0,0.0,4.52
2025-12-01,CUST-0003,0,0,0.0,4.68
2026-01-01,CUST-0003,1,0,9.46,4.64
2026-02-01,CUST-0003,1,0,3.78,4.68
2026-03-01,CUST-0003,4,0,13.85,4.3
2026-04-01,CUST-0003,1,0,15.88,4.48
2026-05-01,CUST-0003,3,0,8.12,3.84
2026-06-01,CUST-0003,2,0,10.65,4.61
2025-01-01,CUST-0004,1,0,0.5,4.5
2025-02-01,CUST-0004,0,0,0.0,4.63
2025-03-01,CUST-0004,2,1,11.76,3.64
2025-04-01,CUST-0004,0,0,0.0,4.9
2025-05-01,CUST-0004,2,0,7.93,4.53
2025-06-01,CUST-0004,1,0,8.11,4.59
2025-07-01,CUST-0004,2,0,4.35,3.97
2025-08-01,CUST-0004,0,0,0.0,4.05
2025-09-01,CUST-0004,0,0,0.0,4.19
2025-10-01,CUST-0004,1,1,12.18,3.86
2025-11-01,CUST-0004,1,0,7.5,3.94
2025-12-01,CUST-0004,0,0,0.0,4.56
2025-03-01,CUST-0005,1,0,13.48,4.29
2025-04-01,CUST-0005,1,0,6.75,4.24
2025-05-01,CUST-0005,2,0,4.59,4.74
2025-06-01,CUST-0005,1,0,8.61,4.37
2025-07-01,CUST-0005,0,0,0.0,4.48
2025-08-01,CUST-0005,2,0,12.68,4.29
2025-09-01,CUST-0005,2,0,8.65,3.9
2025-10-01,CUST-0005,1,0,4.65,4.4
2025-11-01,CUST-0005,0,0,0.0,4.65
2025-12-01,CUST-0005,0,0,0.0,4.32
2026-01-01,CUST-0005,0,0,0.0,4.5
2026-02-01,CUST-0005,1,0,9.83,4.62
2026-03-01,CUST-0005,2,0,13.29,4.14
2026-04-01,CUST-0005,0,0,0.0,4.79
2026-05-01,CUST-0005,1,0,0.5,4.33
2026-06-01,CUST-0005,1,0,11.04,5.0
2025-09-01,CUST-0006,1,0,11.43,4.63
2025-10-01,CUST-0006,0,0,0.0,4.64
2025-11-01,CUST-0006,0,0,0.0,4.33
2025-12-01,CUST-0006,0,0,0.0,4.48
2026-01-01,CUST-0006,0,0,0.0,4.49
2026-02-01,CUST-0006,2,0,5.27,4.43
2026-03-01,CUST-0006,2,0,8.56,5.0
2026-04-01,CUST-0006,1,0,7.13,4.51
2026-05-01,CUST-0006,0,0,0.0,4.48
2026-06-01,CUST-0006,0,0,0.0,4.71
2025-03-01,CUST-0007,2,0,3.6,4.49
2025-04-01,CUST-0007,0,0,0.0,4.6
2025-05-01,CUST-0007,1,1,17.05,3.88
2025-06-01,CUST-0007,2,0,7.47,4.07
2025-07-01,CUST-0007,0,0,0.0,4.42
2025-08-01,CUST-0007,1,0,6.91,4.68
